
reroute	True
bwUnderAlloc	True
mesurPoint	addRemoveFlows
numPLsAvbl	88
numPLsUsed	74
totBwAvbl	1760
totBwUsed	570
numVLsReq	39
numVLsAloc	39
numVLsUnAloc	0
numVLsUdrAloc	0
sumUdrAlocDifr	0
numFlowRules	262
bwUtilzn	32.39
pcntOfVSsUdrAloc	0.00

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	87
numPLsUsed	74
totBwAvbl	1740
totBwUsed	568
numVLsReq	39
numVLsAloc	38
numVLsUnAloc	1
numVLsUdrAloc	1
sumUdrAlocDifr	4
numFlowRules	260
bwUtilzn	32.64
pcntOfVSsUdrAloc	2.56
aveUdrAlocBw	4.00

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	86
numPLsUsed	74
totBwAvbl	1720
totBwUsed	574
numVLsReq	39
numVLsAloc	38
numVLsUnAloc	1
numVLsUdrAloc	1
sumUdrAlocDifr	4
numFlowRules	258
bwUtilzn	33.37
pcntOfVSsUdrAloc	2.56
aveUdrAlocBw	4.00

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	85
numPLsUsed	74
totBwAvbl	1700
totBwUsed	579
numVLsReq	39
numVLsAloc	38
numVLsUnAloc	1
numVLsUdrAloc	1
sumUdrAlocDifr	4
numFlowRules	258
bwUtilzn	34.06
pcntOfVSsUdrAloc	2.56
aveUdrAlocBw	4.00

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	84
numPLsUsed	74
totBwAvbl	1680
totBwUsed	584
numVLsReq	39
numVLsAloc	38
numVLsUnAloc	1
numVLsUdrAloc	1
sumUdrAlocDifr	4
numFlowRules	258
bwUtilzn	34.76
pcntOfVSsUdrAloc	2.56
aveUdrAlocBw	4.00

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	83
numPLsUsed	75
totBwAvbl	1660
totBwUsed	601
numVLsReq	39
numVLsAloc	38
numVLsUnAloc	1
numVLsUdrAloc	1
sumUdrAlocDifr	4
numFlowRules	260
bwUtilzn	36.20
pcntOfVSsUdrAloc	2.56
aveUdrAlocBw	4.00

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	82
numPLsUsed	76
totBwAvbl	1640
totBwUsed	618
numVLsReq	39
numVLsAloc	38
numVLsUnAloc	1
numVLsUdrAloc	1
sumUdrAlocDifr	4
numFlowRules	262
bwUtilzn	37.68
pcntOfVSsUdrAloc	2.56
aveUdrAlocBw	4.00

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	81
numPLsUsed	76
totBwAvbl	1620
totBwUsed	586
numVLsReq	39
numVLsAloc	36
numVLsUnAloc	3
numVLsUdrAloc	1
sumUdrAlocDifr	4
numFlowRules	250
bwUtilzn	36.17
pcntOfVSsUdrAloc	2.56
aveUdrAlocBw	4.00

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	80
numPLsUsed	76
totBwAvbl	1600
totBwUsed	554
numVLsReq	39
numVLsAloc	36
numVLsUnAloc	3
numVLsUdrAloc	1
sumUdrAlocDifr	4
numFlowRules	238
bwUtilzn	34.62
pcntOfVSsUdrAloc	2.56
aveUdrAlocBw	4.00

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	79
numPLsUsed	77
totBwAvbl	1580
totBwUsed	554
numVLsReq	39
numVLsAloc	36
numVLsUnAloc	3
numVLsUdrAloc	1
sumUdrAlocDifr	4
numFlowRules	238
bwUtilzn	35.06
