tslot 	iaasReqPh1	iaasAcpPh1	iaasAcpPh2	retIaaS 	vnodReqPh1	vnodAcpPh1	vnodAcpPh2	retVnod 	vlnkReqPh1	vlnkAcpPh1	vlnkAcpPh2	retVlnk 	nwCpu	retCpu	cpuEffi 	nwActvBw	rtActvBw	nwBkupBw	rtBkupBw	bwEffi 	acceptance 	nwPrft	retPrft 	nwActvCost	nwBkupCost	rtActvCost	rtBkupCost 	prftPerBw	prftPerCpu 	hopsPerActv	hopsPerBkup
0	20	20	11	1000	71	71	39	0	78	78	42	0	128	0	0.842105	219	0	1000	1000	0.312857	0.538462	2637	0	1865	2682	0	0	3.76714	17.3487	1.95238	2.66667	
1	5	4	4	1000	20	16	16	25	21	17	17	27	42	85	0.79375	126	130	1000	1000	0.336842	1	1222	1607	1125	724	1214	0	3.72237	17.6812	2.20455	2.95455	
2	8	8	6	1000	31	31	23	16	36	36	25	18	65	41	0.697368	160	127	1000	1000	0.367949	0.694444	2337	1345	1566	856	1076	0	4.72051	24.2237	2.32558	3.02326	
3	4	4	1	1000	16	16	4	35	20	20	4	39	12	95	0.703947	29	271	1000	1000	0.384615	0.2	556	3597	245	129	2429	0	5.32436	27.3224	2.37209	3.04651	
4	7	5	4	1000	28	20	16	28	31	22	18	29	48	81	0.80625	140	213	1000	1000	0.420238	0.818182	1946	2857	1516	346	1835	0	5.71786	30.0188	2.3617	2.93617	
5	5	5	5	1000	19	19	19	24	23	23	23	26	51	77	0.842105	163	210	1000	1000	0.46625	1	3510	2509	1369	836	2076	0	7.52375	39.5987	2.5102	3.12245	
6	4	2	0	1000	16	8	0	39	22	11	0	45	0	115	0.756579	0	331	1000	1000	0.435526	0	0	5611	0	0	2961	0	7.38289	36.9145	2.48889	3.11111	
7	6	2	0	1000	24	8	0	39	31	11	0	45	0	115	0.756579	0	331	1000	1000	0.435526	0	0	5611	0	0	2961	0	7.38289	36.9145	2.48889	3.11111	
8	2	0	0	1000	7	0	0	35	7	0	0	40	0	105	0.690789	0	294	1000	1000	0.386842	-nan	0	5222	0	0	2611	0	6.87105	34.3553	2.525	3.2	
9	6	4	2	1000	23	15	8	35	26	17	10	40	22	105	0.79375	88	294	1000	1000	0.454762	0.588235	848	5222	825	491	2611	0	7.22619	37.9375	2.64	3.32	
10	2	1	0	1000	7	3	0	32	8	3	0	39	0	90	0.5625	0	315	1000	1000	0.375	0	0	4907	0	0	2889	0	5.84167	30.6687	2.76923	3.48718	
11	5	3	3	1000	19	11	11	28	25	14	14	33	30	75	0.65625	59	255	1000	1000	0.382927	1	1811	4338	510	402	2322	0	7.49878	38.4312	2.40426	3.25532	
12	2	2	2	1000	8	8	8	23	10	10	10	29	26	59	0.559211	78	204	1000	1000	0.371053	1	2083	4484	464	397	1827	0	8.64079	43.2039	2.38462	3.35897	
13	2	2	1	1000	8	8	4	31	10	10	4	39	9	85	0.618421	18	282	1000	1000	0.394737	0.4	679	6567	175	10	2291	0	9.53421	47.6711	2.27907	3.25581	
14	2	1	0	1000	8	4	0	35	11	5	0	43	0	94	0.618421	0	300	1000	1000	0.394737	0	0	7246	0	0	2466	0	9.53421	47.6711	2.27907	3.25581	
15	3	2	2	1000	10	7	7	35	10	7	7	43	18	94	0.736842	31	300	1000	1000	0.424359	1	633	7246	328	48	2466	0	10.1013	51.8355	2.28	3.24	
16	8	7	4	1000	31	27	15	42	34	29	15	50	41	112	0.95625	90	331	1000	1000	0.50119	0.517241	1972	7879	789	239	2794	0	11.7274	61.5688	2.4	3.26154	
17	3	1	0	1000	12	4	0	54	15	5	0	62	0	145	0.90625	0	402	1000	1000	0.478571	0	0	9428	0	0	3385	0	11.2238	58.925	2.40323	3.29032	
18	6	6	6	1000	19	19	19	8	20	20	20	9	52	21	0.536765	124	66	1000	1000	0.351852	1	1887	1482	748	469	565	0	6.23889	24.7721	2.17241	3.13793	
19	7	6	2	1000	27	23	8	24	31	26	9	26	21	64	0.590278	83	178	1000	1000	0.420968	0.346154	1336	3179	765	628	1283	0	7.28226	31.3542	2.28571	3.22857	
