56
0
1	2	12,15,16
1	1	11,10
1	5	10,12
1	4	11,14,16
1	3	12,11
1	5	16,9,10
2	2	8,7
2	1	7,4,9,10
2	1	16,9,10
2	3	10,9,8
3	4	20,17,8
3	3	19,20
3	2	5,9,8
3	4	19,7,8
3	2	20,15,14,9,5
3	3	5,3,1,19
4	5	15,17,8,7
4	5	9,8,7
4	3	1,3,9
4	4	7,1
5	2	4,7,18
5	5	8,18
5	2	18,19,1,2
5	1	2,1,7,8
5	5	4,8
6	2	14,9,4
6	4	4,9,10,12,13
6	5	13,12,15,14
7	1	19,1,3
7	3	5,3
7	4	3,5,10,12
7	2	5,3,1,19
9	2	12,11
9	3	2,3,5,10,12
9	1	11,15,17,19,1
9	2	2,1
11	3	8,9,5,6
11	4	6,5,10,12
11	4	12,15,17,8
11	5	15,12
14	3	6,5,9,16,15
14	2	2,1,19,20,15
14	3	9,5,6
14	5	6,5,3,2
16	2	16,9,10
16	1	17,20
16	3	20,17,16
16	1	10,11,15,20
16	4	10,9,16,17
18	1	4,8,17
18	1	17,15
18	3	3,4
18	5	17,16,9,3
19	5	11,14,9,8
19	1	8,18
19	5	11,15,17,18
